"id","year","month","day","from_time","to_time","court","odds","created_at","updated_at","delete_flg","apply_court","empty_court"
72,2020,2,9,11,13,"3",11.75,2020/01/04 17:36:31.585,2020/01/10 20:49:15.668,"0",94,8
73,2020,2,9,13,16,"3",18.12,2020/01/04 17:36:31.689,2020/01/10 20:49:15.754,"0",145,8
74,2020,2,11,9,11,"0",6.12,2020/01/04 17:36:44.372,2020/01/10 20:49:22.770,"0",49,8
75,2020,2,11,11,13,"0",4.50,2020/01/04 17:36:44.471,2020/01/10 20:49:22.878,"0",36,8
76,2020,2,11,13,15,"0",6.50,2020/01/04 17:36:44.565,2020/01/10 20:49:22.993,"0",52,8
78,2020,2,11,17,19,"0",0.75,2020/01/04 17:36:44.757,2020/01/10 20:49:23.166,"0",6,8
79,2020,2,11,19,21,"0",0.25,2020/01/04 17:36:44.849,2020/01/10 20:49:23.334,"0",2,8
81,2020,2,11,11,13,"1",4.44,2020/01/04 17:36:51.373,2020/01/10 20:49:30.323,"0",71,16
82,2020,2,11,13,16,"1",9.69,2020/01/04 17:36:51.495,2020/01/10 20:49:30.414,"0",155,16
84,2020,2,11,11,13,"2",9.00,2020/01/04 17:36:58.026,2020/01/10 20:49:39.081,"0",72,8
85,2020,2,11,13,16,"2",9.50,2020/01/04 17:36:58.135,2020/01/10 20:49:39.168,"0",76,8
86,2020,2,11,9,11,"3",7.88,2020/01/04 17:37:04.755,2020/01/10 20:49:46.068,"0",63,8
87,2020,2,11,11,13,"3",8.38,2020/01/04 17:37:04.906,2020/01/10 20:49:46.161,"0",67,8
88,2020,2,11,13,16,"3",12.62,2020/01/04 17:37:05.002,2020/01/10 20:49:46.362,"0",101,8
89,2020,2,15,9,11,"0",7.25,2020/01/04 17:37:29.496,2020/01/10 20:49:56.437,"0",58,8
90,2020,2,15,11,13,"0",6.62,2020/01/04 17:37:29.619,2020/01/10 20:49:56.545,"0",53,8
91,2020,2,15,13,15,"0",10.50,2020/01/04 17:37:29.715,2020/01/10 20:49:56.795,"0",84,8
92,2020,2,15,15,17,"0",5.12,2020/01/04 17:37:29.814,2020/01/10 20:49:57.048,"0",41,8
93,2020,2,15,17,19,"0",2.25,2020/01/04 17:37:29.918,2020/01/10 20:49:57.151,"0",18,8
94,2020,2,15,19,21,"0",1.62,2020/01/04 17:37:30.008,2020/01/10 20:49:57.332,"0",13,8
95,2020,2,15,9,11,"1",5.81,2020/01/04 17:37:36.506,2020/01/10 20:50:04.218,"0",93,16
97,2020,2,15,13,16,"1",14.31,2020/01/04 17:37:36.809,2020/01/10 20:50:04.395,"0",229,16
98,2020,2,15,9,11,"2",5.12,2020/01/04 17:37:43.319,2020/01/10 20:50:11.378,"0",41,8
99,2020,2,15,11,13,"2",7.50,2020/01/04 17:37:43.509,2020/01/10 20:50:11.483,"0",60,8
100,2020,2,15,13,16,"2",11.25,2020/01/04 17:37:43.634,2020/01/10 20:50:11.567,"0",90,8
15,2020,2,1,11,13,"0",5.12,2020/01/04 17:24:49.302,2020/01/10 20:47:15.435,"0",41,8
16,2020,2,1,13,15,"0",14.00,2020/01/04 17:24:52.480,2020/01/10 20:47:15.552,"0",112,8
17,2020,2,1,15,17,"0",11.25,2020/01/04 17:24:53.074,2020/01/10 20:47:15.659,"0",90,8
18,2020,2,1,17,19,"0",1.12,2020/01/04 17:24:53.806,2020/01/10 20:47:15.757,"0",9,8
19,2020,2,1,19,21,"0",0.62,2020/01/04 17:24:54.639,2020/01/10 20:47:15.845,"0",5,8
140,2020,2,23,9,11,"1",10.00,2020/01/04 17:40:08.946,2020/01/10 20:51:44.391,"0",40,4
141,2020,2,23,11,13,"1",14.00,2020/01/04 17:40:09.037,2020/01/10 20:51:44.489,"0",56,4
142,2020,2,23,13,16,"1",26.00,2020/01/04 17:40:09.139,2020/01/10 20:51:44.583,"0",104,4
143,2020,2,23,9,11,"2",6.62,2020/01/04 18:21:52.668,2020/01/10 20:51:54.595,"0",53,8
144,2020,2,23,11,13,"2",7.38,2020/01/04 18:21:52.776,2020/01/10 20:51:54.684,"0",59,8
145,2020,2,23,13,16,"2",10.75,2020/01/04 18:21:52.872,2020/01/10 20:51:54.853,"0",86,8
146,2020,2,23,9,11,"3",9.25,2020/01/04 18:22:02.787,2020/01/10 20:52:05.184,"0",74,8
147,2020,2,23,11,13,"3",10.88,2020/01/04 18:22:02.882,2020/01/10 20:52:05.270,"0",87,8
148,2020,2,23,13,16,"3",18.12,2020/01/04 18:22:02.989,2020/01/10 20:52:05.355,"0",145,8
106,2020,2,16,13,15,"0",9.25,2020/01/04 17:38:06.414,2020/01/10 20:50:27.799,"0",74,8
107,2020,2,16,15,17,"0",5.12,2020/01/04 17:38:06.527,2020/01/10 20:50:27.885,"0",41,8
108,2020,2,16,17,19,"0",5.38,2020/01/04 17:38:06.635,2020/01/10 20:50:27.969,"0",43,8
109,2020,2,16,19,21,"0",0.62,2020/01/04 17:38:06.727,2020/01/10 20:50:28.179,"0",5,8
110,2020,2,16,9,11,"1",6.31,2020/01/04 17:38:13.671,2020/01/10 20:50:35.187,"0",101,16
111,2020,2,16,11,13,"1",5.44,2020/01/04 17:38:13.783,2020/01/10 20:50:35.283,"0",87,16
112,2020,2,16,13,16,"1",13.44,2020/01/04 17:38:13.888,2020/01/10 20:50:35.431,"0",215,16
113,2020,2,16,9,11,"2",8.75,2020/01/04 17:38:20.737,2020/01/10 20:50:42.389,"0",70,8
114,2020,2,16,11,13,"2",8.00,2020/01/04 17:38:20.899,2020/01/10 20:50:42.514,"0",64,8
115,2020,2,16,13,16,"2",15.62,2020/01/04 17:38:20.996,2020/01/10 20:50:42.607,"0",125,8
116,2020,2,16,9,11,"3",19.12,2020/01/04 17:38:29.952,2020/01/10 20:50:49.277,"0",153,8
117,2020,2,16,11,13,"3",12.50,2020/01/04 17:38:30.156,2020/01/10 20:50:49.368,"0",100,8
118,2020,2,16,13,16,"3",22.25,2020/01/04 17:38:30.302,2020/01/10 20:50:49.455,"0",178,8
119,2020,2,22,9,11,"0",6.50,2020/01/04 17:39:03.811,2020/01/10 20:51:02.807,"0",52,8
120,2020,2,22,11,13,"0",6.62,2020/01/04 17:39:04.034,2020/01/10 20:51:02.895,"0",53,8
121,2020,2,22,13,15,"0",10.25,2020/01/04 17:39:04.182,2020/01/10 20:51:02.981,"0",82,8
122,2020,2,22,15,17,"0",6.38,2020/01/04 17:39:04.299,2020/01/10 20:51:03.073,"0",51,8
123,2020,2,22,17,19,"0",1.00,2020/01/04 17:39:04.409,2020/01/10 20:51:03.158,"0",8,8
124,2020,2,22,19,21,"0",1.00,2020/01/04 17:39:04.499,2020/01/10 20:51:03.242,"0",8,8
125,2020,2,22,9,11,"1",12.50,2020/01/04 17:39:11.653,2020/01/10 20:51:11.500,"0",50,4
126,2020,2,22,11,13,"1",10.25,2020/01/04 17:39:11.799,2020/01/10 20:51:11.595,"0",41,4
127,2020,2,22,13,16,"1",36.25,2020/01/04 17:39:11.916,2020/01/10 20:51:11.678,"0",145,4
128,2020,2,22,9,11,"2",6.38,2020/01/04 17:39:18.803,2020/01/10 20:51:19.750,"0",51,8
129,2020,2,22,11,13,"2",7.62,2020/01/04 17:39:19.005,2020/01/10 20:51:19.855,"0",61,8
130,2020,2,22,13,16,"2",13.12,2020/01/04 17:39:19.121,2020/01/10 20:51:19.948,"0",105,8
131,2020,2,22,9,11,"3",8.12,2020/01/04 17:39:26.080,2020/01/10 20:51:27.291,"0",65,8
133,2020,2,22,13,16,"3",18.25,2020/01/04 17:39:26.276,2020/01/10 20:51:27.505,"0",146,8
134,2020,2,23,9,11,"0",7.88,2020/01/04 17:40:01.600,2020/01/10 20:51:35.233,"0",63,8
135,2020,2,23,11,13,"0",6.62,2020/01/04 17:40:01.755,2020/01/10 20:51:35.584,"0",53,8
136,2020,2,23,13,15,"0",6.38,2020/01/04 17:40:01.913,2020/01/10 20:51:35.669,"0",51,8
137,2020,2,23,15,17,"0",4.12,2020/01/04 17:40:02.004,2020/01/10 20:51:35.752,"0",33,8
138,2020,2,23,17,19,"0",1.38,2020/01/04 17:40:02.094,2020/01/10 20:51:35.837,"0",11,8
139,2020,2,23,19,21,"0",0.88,2020/01/04 17:40:02.187,2020/01/10 20:51:35.973,"0",7,8
149,2020,2,24,9,11,"0",4.50,2020/01/04 18:22:22.584,2020/01/10 20:52:14.775,"0",36,8
150,2020,2,24,11,13,"0",5.12,2020/01/04 18:22:22.682,2020/01/10 20:52:14.917,"0",41,8
151,2020,2,24,13,15,"0",4.25,2020/01/04 18:22:22.774,2020/01/10 20:52:15,"0",34,8
